position,values
"('0|0', '0|1')",-1,-21.8,-38.44,-51.751999999999995,-62.4016,-70.92128,-77.73702399999999,-83.1896192,-87.55169536,-91.041356288,-93.8330850304,-96.06646802432,-97.85317441945601,-99.28253953556481,-100.42603162845185,-101.29822213991629,-101.9087554979414,-102.33612884855897,-102.63529019399128,-102.84470313579389,-102.99129219505572,-103.093904536539,-103.1657331755773,-103.21601322290411,-103.25120925603287,-103.275846479223,-103.2930925354561,-103.30516477481926,-103.31361534237348,-103.31953073966143,-103.323671517763,-103.3265700624341,-103.32859904370386,-103.33001933059269,-103.33101353141488,-103.33170947199041,-103.33219663039328,-103.3325376412753,-103.33277634889271,-103.3329434442249,-103.33306041095742,-103.33314228767019,-103.33319960136913,-103.33323972095839,-103.33326780467087,-103.3332874632696,-103.33330122428872,-103.3333108570021,-103.33331759990146,-103.33332231993101,-103.33332562395171,-103.3333279367662,-103.33332955573633,-103.33333068901543,-103.3333314823108,-103.33333203761755,-103.33333242633228,-103.33333269843259,-103.3333328889028,-103.33333302223195,-103.33333311556237,-103.33333318089365,-103.33333322662554,-103.33333325863788
"('0|0', '0|2')",-1,-11.9,-21.71,-30.539,-38.4851,-45.636590000000005,-52.072931000000004,-57.8656379,-63.07907411,-67.77116669899999,-71.9940500291,-75.79464502619,-79.215180523571,-82.29366247121389,-85.0642962240925,-87.55786660168326,-89.80207994151493,-91.82187194736345,-93.6396847526271,-95.2757162773644,-96.74814464962796,-98.07333018466517,-99.26599716619866,-100.3393974495788,-101.20363846974728,-101.72218308184836,-102.033309849109,-102.21998590946541,-102.33199154567924,-102.39919492740754,-102.43951695644452,-102.4637101738667,-102.47822610432002,-102.486935662592,-102.49216139755521,-102.49529683853312,-102.49717810311986,-102.49830686187192,-102.49898411712314,-102.49939047027388,-102.49963428216432,-102.4997805692986,-102.49986834157914,-102.49992100494748,-102.49995260296848,-102.49997156178108,-102.49998293706864,-102.49998976224117,-102.49999385734469,-102.49999631440681,-102.4999977886441,-102.49999867318645,-102.49999920391187,-102.49999952234711,-102.49999971340827,-102.49999982804496,-102.49999989682698,-102.49999993809618,-102.49999996285771,-102.49999997771462,-102.49999998662878,-102.49999999197726,-102.49999999518636,-102.49999999711181
...
time, 39.044373512268066 - VI time
quality,  72.39999999999999% - number of successful trials

the input board :
# - blank
0.2 - position probability
#, #, #, #, #
#, 0.2, 0.1, 0.3, #
#, 0.2, 0.3, 0.4, #
#, 0.4, 0.5, #, #
#, #, #, #, #
